Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
98c2361ef38860ae8b38b07045c1611633d1e17e1e7f16d6564240fb0602ed2d,2019-03,West Midlands Police,West Midlands Police,-1.859284,52.488779,On or near JERSEY ROAD,E01033644,Birmingham 052F,Unable to prosecute suspect
d2415f820c4b0e3dc6c47a67e7ed46f53e2286e957a7ce133e505af913dd41f6,2019-03,West Midlands Police,West Midlands Police,-1.825094,52.557776,On or near WHILE ROAD,E01009449,Birmingham 009A,Investigation complete; no suspect identified
c03d13a3a369dfedb9b6c7ed5f5e04f569aa741dbde6c70e362fc05e18ad9028,2019-03,West Midlands Police,West Midlands Police,-1.818618,52.453861,On or near LANGWORTH AVENUE,E01008890,Birmingham 089A,Unable to prosecute suspect
a56e907e9435027eaf5ae92506d4b50c1202c74d6786037c66f04a1348de56f5,2019-03,West Midlands Police,West Midlands Police,-1.853844,52.512605,On or near ANITA CROFT,E01009401,Birmingham 031F,Unable to prosecute suspect
282724489a02685961b5d73a4761ec62862b86f2531152f5521b2b994d96579d,2019-03,West Midlands Police,West Midlands Police,-1.880573,52.463837,On or near KYRWICKS LANE,E01009365,Birmingham 071D,Suspect charged
98ad35a69342946731ff37647402c18b40176de472fc6f8fb851c9845d1f8a9c,2019-03,West Midlands Police,West Midlands Police,-1.880573,52.463837,On or near KYRWICKS LANE,E01009365,Birmingham 071D,Suspect charged
da7c54400b965b9b0fd38f8606b882af22abd3edb198b2a14404159463903999,2019-03,West Midlands Police,West Midlands Police,-1.880573,52.463837,On or near KYRWICKS LANE,E01009365,Birmingham 071D,Suspect charged
b289a217b9bafaecd99c0b7911b065bb3d3d14b1af8d800fb3a6ebb486a16113,2019-03,West Midlands Police,West Midlands Police,-1.880573,52.463837,On or near KYRWICKS LANE,E01009365,Birmingham 071D,Suspect charged
ebce7c50d7487647a75f4e514c81357f281e18332703df0d82ced694e5e7ac34,2019-03,West Midlands Police,West Midlands Police,-1.804441,52.488512,On or near HARROWFIELD ROAD,E01009092,Birmingham 054A,Investigation complete; no suspect identified
742e90e226e0095f1a7651975a350f04e3f96f16b09197f8f5db12b569598ab6,2019-03,West Midlands Police,West Midlands Police,-1.813291,52.443433,On or near GOSPEL LANE,E01009015,Birmingham 089G,Unable to prosecute suspect
4ce686c505fe5fce0a902fdd09c0d3c068003d1eabcb5830f26ac091367c8268,2019-03,West Midlands Police,West Midlands Police,-1.838575,52.545901,On or near WREKIN ROAD,E01009456,Birmingham 018C,Unable to prosecute suspect
2fa7024f1a575cb911e5dd7e0a0c8442644bc2d3f9f62409c953f43cd721e8d9,2019-03,West Midlands Police,West Midlands Police,-1.838575,52.545901,On or near WREKIN ROAD,E01009456,Birmingham 018C,Unable to prosecute suspect
a273657d0d2e5c7e7f938e15071c62a246d72e888433f82a84f86deeb7c82c28,2019-03,West Midlands Police,West Midlands Police,-1.861013,52.435201,On or near PENSBY CLOSE,E01009176,Birmingham 105E,Unable to prosecute suspect
f24518d7b47d2b2f14ec5428a5da3de52da6d70950dfb9ad2b774caa46801a8f,2019-03,West Midlands Police,West Midlands Police,-1.869434,52.462603,On or near HICKMAN ROAD,E01033650,Birmingham 077F,Suspect charged
ce006bb09fd5de2b26aaceedc5913481d5de7fbf579c1a0fd04af51f107b9f4e,2019-03,West Midlands Police,West Midlands Police,-1.772127,52.531948,On or near LINDRIDGE DRIVE,E01009441,Birmingham 021B,Unable to prosecute suspect
3ebd4ef3947757a92a6c9f29951c0376607b8db728a51ca91d0278b4c29c71f3,2019-03,West Midlands Police,West Midlands Police,-1.848392,52.452581,On or near HAVELOCK ROAD,E01009340,Birmingham 140B,Investigation complete; no suspect identified
