Date,Affiliate,Clicks,GrossSales,Voids,NetSales,NumberofSales,ManualCredits,Commissions,Conversion,EPC,AverageOrder,AffiliateID,Organization,Website,NumbSales,NumbLeads,NumbTwoTier,NumbBonuses,NumbPayPerCall,NumbLeapFrog,SaleCommissions,LeadCommissions,TwoTierCommissions,BonusCommissions,PayPerCallCommissions,LeapFrogCommissions,TransactionFees
23/03/2021,1519404-Mariano Cordoba-marianocordoba.me,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1519404,Mariano Cordoba,marianocordoba.me,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
23/03/2021,1693896-Karen Shopoff Rooff-www.wellbalancedwomen.com,1,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1693896,Karen Shopoff Rooff,www.wellbalancedwomen.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,431460-COUPONISM INC.-www.couponism.com/,5,$847.00 ,0,$847.00 ,3,0,$42.35 ,60,$847.00 ,$282.33 ,431460,COUPONISM INC.,www.couponism.com/,3,0,0,0,0,0,$42.35 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$8.47 
24/03/2021,512696-MyPoints.com Inc.-www.mypoints.com,3,$598.00 ,0,$598.00 ,1,0,$29.90 ,33.33,$996.67 ,$598.00 ,512696,"MyPoints.com, Inc.",www.mypoints.com,1,0,0,0,0,0,$29.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$5.98 
24/03/2021,1140999-Chichihaha Limited-www.couponbirds.com,5,$452.20 ,0,$452.20 ,2,0,$22.61 ,40,$452.20 ,$226.10 ,1140999,Chichihaha Limited,www.couponbirds.com,2,0,0,0,0,0,$22.61 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$4.52 
24/03/2021,1375544-REE SOLUTIONS INC-www.reecoupons.com,6,$398.00 ,0,$398.00 ,1,0,$19.90 ,16.67,$331.67 ,$398.00 ,1375544,REE SOLUTIONS INC,www.reecoupons.com,1,0,0,0,0,0,$19.90 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$3.98 
24/03/2021,314743-Skimbit Ltd-skimlinks.com,19,$385.20 ,0,$385.20 ,1,0,$69.34 ,5.26,$364.95 ,$385.20 ,314743,Skimbit Ltd,skimlinks.com,1,0,0,0,0,0,$69.34 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$13.87 
24/03/2021,1705307-Muhammad Bilal-www.discountcodez.com/,3,$299.00 ,0,$299.00 ,1,0,$14.95 ,33.33,$498.33 ,$299.00 ,1705307,Muhammad Bilal,www.discountcodez.com/,1,0,0,0,0,0,$14.95 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$2.99 
24/03/2021,1052535-ZYMSOL-www.dealsdir.com,1,$299.00 ,0,$299.00 ,1,0,$14.95 ,100,"$1,495.00 ",$299.00 ,1052535,ZYMSOL,www.dealsdir.com,1,0,0,0,0,0,$14.95 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$2.99 
24/03/2021,2081063-Yuping Li-couponduos.com,3,$99.00 ,0,$99.00 ,1,0,$4.95 ,33.33,$165.00 ,$99.00 ,2081063,Yuping Li,couponduos.com,1,0,0,0,0,0,$4.95 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.99 
24/03/2021,389818-VigLink Inc.-www.viglink.com,158,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,389818,"VigLink, Inc.",www.viglink.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,445875-Demand.io-knoji.com,6,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,445875,Demand.io,knoji.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,947175-Mattress Advisor LLC-mattressclarity.com,6,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,947175,Mattress Advisor LLC,mattressclarity.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,1422007-Christiaan Moberg-www.slumbersearch.com,6,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,1422007,Christiaan Moberg,www.slumbersearch.com,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
24/03/2021,927360-Coupon Gents LLC-coupongents.us,4,$0.00 ,0,$0.00 ,0,0,$0.00 ,0,$0.00 ,$0.00 ,927360,"Coupon Gents, LLC",coupongents.us,0,0,0,0,0,0,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 ,$0.00 
